Country	Type	Mountain	Latitude	Longitude	Elevation
India	Mountain	Keran Mountain	34.04968	73.972071	2934 m
India	Mountain	Banavat Mountain	33.779401	74.126662	5114 m
India	Mountain	Kantar Nag Mountain	33.958399	74.364012	3857 m
India	Mountain	Dumkot Mountain	33.977632	74.483536	3498 m
India	Mountain	Krala Sangar Mountain	33.957502	74.473069	3920 m
India	Mountain	Nalan Mountain	33.894731	74.274836	2610 m
India	Mountain	Pir Panjal Mountain	33.896395	74.409916	4215 m
India	Mountain	Chinamarg Mountain	33.888491	74.419403	4210 m
India	Mountain	Shin Mahinyu Mountain	33.902697	74.436112	4427 m
India	Mountain	Khara Ka Naza Mountain	33.844227	74.413697	4090 m
India	Mountain	Shiv Nag Mountain	33.894037	74.449233	4288 m
India	Mountain	Lal Shah Ki Alam Mountain	33.88306	74.486128	3532 m
India	Mountain	Handnal Mountain	33.803248	74.429439	4053 m
India	Mountain	Baba Pahar Mountain	33.75801	74.405999	3760 m
India	Mountain	Naushera Mountain	33.771777	74.427684	4282 m
India	Mountain	Farish Mountain	33.804011	74.450051	4267 m
India	Mountain	Khari Mountain	33.79413	74.483462	4159 m
India	Mountain	Nupur Neza Mountain	33.781567	74.467877	4215 m
India	Mountain	Hundru Mountain	33.760822	74.491406	4116 m
India	Mountain	Kokarbai Mountain	34.459529	74.784094	3872 m
India	Mountain	Baribal Mountain	34.454586	74.800936	3978 m
India	Mountain	Choatar Mountain	34.467807	74.815478	3691 m
India	Mountain	Khach Mountain	34.474079	74.859678	3859 m
India	Mountain	Kaiyinmarg Mountain	34.457655	74.848738	4017 m
India	Mountain	Lolikhi Mountain	34.629973	75.104285	4209 m
India	Mountain	Sateni Mountain	34.616788	75.046906	3643 m
India	Mountain	Gagarbal Mountain	34.492851	74.883403	1106 m
India	Mountain	Nichinai Mountain	34.475625	74.92435	4463 m
India	Mountain	Shonshpahl Mountain	34.458358	74.92397	4176 m
India	Mountain	Kana Sar Mountain	34.45467	74.947776	4312 m
India	Mountain	Jarog Mountain	34.599939	75.081675	3904 m
India	Mountain	Kinkor Mountain	34.583624	75.112431	3638 m
India	Mountain	Makneli Mountain	34.569491	75.275055	3972 m
India	Mountain	Gutumishungi Chhish Mountain	34.564876	75.336675	4640 m
India	Mountain	Noli Dub Mountain	34.513106	75.261226	4128 m
India	Mountain	Abdullun Dhar Mountain	34.515886	75.284037	3722 m
India	Mountain	Kotho Phia Mountain	34.506606	75.303091	3499 m
India	Mountain	Chhillo Phia Mountain	34.532104	75.334377	4249 m
India	Mountain	Sire Shhish Mountain	34.515316	75.352322	4719 m
India	Mountain	Hapat Nak Mountain	34.446449	74.769606	3693 m
India	Mountain	Sariwas Mountain	34.393746	74.783484	3190 m
India	Mountain	Yamal Mountain	34.445431	74.816246	3877 m
India	Mountain	Trewa Mountain	34.397714	74.818267	3782 m
India	Mountain	Chhamar Mountain	34.381667	74.874959	3800 m
India	Mountain	Zhakhran Mountain	34.34135	74.800146	3451 m
India	Mountain	Khachi Handar Mountain	34.357718	74.851882	4151 m
India	Mountain	Alastiung Mountain	34.19822	74.825235	1653 m
India	Mountain	Hari Prabhat Mountain	34.1053805	74.8184599	375 m
India	Mountain	Andarun Sar Mountain	34.451072	74.919847	4192 m
India	Mountain	Zalibal Mountain	34.440119	74.963823	4159 m
India	Mountain	Haramukh Mountain	34.400842	74.91743	4231 m
India	Mountain	Tilwankain Mountain	34.376357	74.897127	4346 m
India	Mountain	Kaul Sar Mountain	34.386117	74.946139	3730 m
India	Mountain	Braham Sar Mountain	34.374465	74.935536	3959 m
India	Mountain	Karala Sangari Mountain	34.102654	74.883461	1650 m
India	Mountain	Mahadeo Mountain	34.150932	74.985469	3684 m
India	Mountain	Kolahoi Mountain	34.166428	75.326846	4808 m
India	Mountain	Kumdan Mountain	35.1737078	77.5291543	5710 m
India	Mountain	Sariling Mountain	34.65828	76.222105	4356 m
India	Mountain	Sanma Chharo Mountain	34.622616	76.011797	4285 m
India	Mountain	Phulyat Phuto Mountain	34.619079	76.072208	3763 m
India	Mountain	Gormukh Mountain	34.657922	76.366629	3712 m
India	Mountain	Bonothombo Mountain	34.625925	76.370143	3395 m
India	Mountain	Gripches Go Mountain	34.616575	76.36669	3704 m
India	Mountain	Lagma Go Mountain	34.604262	76.363436	4051 m
India	Mountain	Biamocheni Gob Mountain	34.575873	76.316622	4222 m
India	Mountain	Shashi Chhu Mountain	34.567962	76.354224	4247 m
India	Mountain	Bardum Mountain	34.533313	76.309895	4539 m
India	Mountain	Nunkun Mountain	33.980075	76.021071	7077 m
India	Mountain	Saser Mountain	34.867002	77.7490077	7463 m
India	Mountain	Saser Muztagh Mountain	34.6651918	77.8334158	6235 m
